,gene_id,gene_name
AL627309.1,ENSG00000238009,AL627309.1
AL627309.3,ENSG00000239945,AL627309.3
AL627309.5,ENSG00000241860,AL627309.5
AL627309.4,ENSG00000241599,AL627309.4
AL669831.2,ENSG00000229905,AL669831.2
LINC01409,ENSG00000237491,LINC01409
FAM87B,ENSG00000177757,FAM87B
LINC01128,ENSG00000228794,LINC01128
LINC00115,ENSG00000225880,LINC00115
FAM41C,ENSG00000230368,FAM41C
AL645608.2,ENSG00000230699,AL645608.2
SAMD11,ENSG00000187634,SAMD11
NOC2L,ENSG00000188976,NOC2L
KLHL17,ENSG00000187961,KLHL17
PLEKHN1,ENSG00000187583,PLEKHN1
AL645608.7,ENSG00000272512,AL645608.7
HES4,ENSG00000188290,HES4
ISG15,ENSG00000187608,ISG15
AGRN,ENSG00000188157,AGRN
C1orf159,ENSG00000131591,C1orf159
AL390719.3,ENSG00000285812,AL390719.3
LINC01342,ENSG00000223823,LINC01342
TTLL10-AS1,ENSG00000205231,TTLL10-AS1
TTLL10,ENSG00000162571,TTLL10
TNFRSF18,ENSG00000186891,TNFRSF18
TNFRSF4,ENSG00000186827,TNFRSF4
SDF4,ENSG00000078808,SDF4
B3GALT6,ENSG00000176022,B3GALT6
C1QTNF12,ENSG00000184163,C1QTNF12
AL162741.1,ENSG00000260179,AL162741.1
UBE2J2,ENSG00000160087,UBE2J2
LINC01786,ENSG00000230415,LINC01786
SCNN1D,ENSG00000162572,SCNN1D
ACAP3,ENSG00000131584,ACAP3
PUSL1,ENSG00000169972,PUSL1
INTS11,ENSG00000127054,INTS11
AL139287.1,ENSG00000240731,AL139287.1
CPTP,ENSG00000224051,CPTP
TAS1R3,ENSG00000169962,TAS1R3
DVL1,ENSG00000107404,DVL1
MXRA8,ENSG00000162576,MXRA8
AURKAIP1,ENSG00000175756,AURKAIP1
CCNL2,ENSG00000221978,CCNL2
MRPL20-AS1,ENSG00000224870,MRPL20-AS1
MRPL20,ENSG00000242485,MRPL20
AL391244.2,ENSG00000272455,AL391244.2
ANKRD65,ENSG00000235098,ANKRD65
ATAD3C,ENSG00000215915,ATAD3C
ATAD3B,ENSG00000160072,ATAD3B
ATAD3A,ENSG00000197785,ATAD3A
TMEM240,ENSG00000205090,TMEM240
SSU72,ENSG00000160075,SSU72
AL645728.1,ENSG00000215014,AL645728.1
FNDC10,ENSG00000228594,FNDC10
AL691432.4,ENSG00000286989,AL691432.4
AL691432.2,ENSG00000272106,AL691432.2
MIB2,ENSG00000197530,MIB2
MMP23B,ENSG00000189409,MMP23B
CDK11B,ENSG00000248333,CDK11B
FO704657.1,ENSG00000272004,FO704657.1
